date,host,type_instance,value
2022-02-20 16:53:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 16:53:00+00:00,10.95.161.205,cached,40185694208.0
2022-02-20 16:53:00+00:00,10.95.161.205,free,151350964224.0
2022-02-20 16:53:00+00:00,10.95.161.205,slab_recl,3674230784.0
2022-02-20 16:53:00+00:00,10.95.161.205,slab_unrecl,972029952.0
2022-02-20 16:53:00+00:00,10.95.161.205,used,4303656960.0
2022-02-20 16:53:00+00:00,10.95.161.206,buffered,1134327808.0
2022-02-20 16:53:00+00:00,10.95.161.206,cached,9335851008.0
2022-02-20 16:53:00+00:00,10.95.161.206,free,188225218560.0
2022-02-20 16:53:00+00:00,10.95.161.206,slab_recl,880435200.0
2022-02-20 16:53:00+00:00,10.95.161.206,slab_unrecl,788291584.0
2022-02-20 16:53:00+00:00,10.95.161.206,used,2371774464.0
2022-02-20 16:53:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 16:53:00+00:00,10.95.161.207,cached,26635534336.0
2022-02-20 16:53:00+00:00,10.95.161.207,free,163094824960.0
2022-02-20 16:53:00+00:00,10.95.161.207,slab_recl,4290895872.0
2022-02-20 16:53:00+00:00,10.95.161.207,slab_unrecl,1434161152.0
2022-02-20 16:53:00+00:00,10.95.161.207,used,5474953216.0
2022-02-20 16:53:00+00:00,10.95.161.208,buffered,1219555328.0
2022-02-20 16:53:00+00:00,10.95.161.208,cached,180524236800.0
2022-02-20 16:53:00+00:00,10.95.161.208,free,1373366272.0
2022-02-20 16:53:00+00:00,10.95.161.208,slab_recl,4656287744.0
2022-02-20 16:53:00+00:00,10.95.161.208,slab_unrecl,487061504.0
2022-02-20 16:53:00+00:00,10.95.161.208,used,14475390976.0
2022-02-20 16:53:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 16:53:00+00:00,10.95.161.209,cached,14045552640.0
2022-02-20 16:53:00+00:00,10.95.161.209,free,178007252992.0
2022-02-20 16:53:00+00:00,10.95.161.209,slab_recl,3366375424.0
2022-02-20 16:53:00+00:00,10.95.161.209,slab_unrecl,1343393792.0
2022-02-20 16:53:00+00:00,10.95.161.209,used,4297691136.0
2022-02-20 16:54:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 16:54:00+00:00,10.95.161.205,cached,40187056128.0
2022-02-20 16:54:00+00:00,10.95.161.205,free,151350043306.66666
2022-02-20 16:54:00+00:00,10.95.161.205,slab_recl,3674232149.3333335
2022-02-20 16:54:00+00:00,10.95.161.205,slab_unrecl,971963733.3333334
2022-02-20 16:54:00+00:00,10.95.161.205,used,4303280810.666667
2022-02-20 16:54:00+00:00,10.95.161.206,buffered,1134331221.3333333
2022-02-20 16:54:00+00:00,10.95.161.206,cached,9335934976.0
2022-02-20 16:54:00+00:00,10.95.161.206,free,188223509162.66666
2022-02-20 16:54:00+00:00,10.95.161.206,slab_recl,880459776.0
2022-02-20 16:54:00+00:00,10.95.161.206,slab_unrecl,788387157.3333334
2022-02-20 16:54:00+00:00,10.95.161.206,used,2373276330.6666665
2022-02-20 16:54:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 16:54:00+00:00,10.95.161.207,cached,26635895466.666668
2022-02-20 16:54:00+00:00,10.95.161.207,free,163120070656.0
2022-02-20 16:54:00+00:00,10.95.161.207,slab_recl,4290901333.3333335
2022-02-20 16:54:00+00:00,10.95.161.207,slab_unrecl,1434318165.3333333
2022-02-20 16:54:00+00:00,10.95.161.207,used,5449183914.666667
2022-02-20 16:54:00+00:00,10.95.161.208,buffered,1219575808.0
2022-02-20 16:54:00+00:00,10.95.161.208,cached,180524241578.66666
2022-02-20 16:54:00+00:00,10.95.161.208,free,1374453077.3333333
2022-02-20 16:54:00+00:00,10.95.161.208,slab_recl,4656287744.0
2022-02-20 16:54:00+00:00,10.95.161.208,slab_unrecl,487177557.3333333
2022-02-20 16:54:00+00:00,10.95.161.208,used,14474162858.666666
2022-02-20 16:54:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 16:54:00+00:00,10.95.161.209,cached,14045718528.0
2022-02-20 16:54:00+00:00,10.95.161.209,free,178006064469.33334
2022-02-20 16:54:00+00:00,10.95.161.209,slab_recl,3366273024.0
2022-02-20 16:54:00+00:00,10.95.161.209,slab_unrecl,1343541248.0
2022-02-20 16:54:00+00:00,10.95.161.209,used,4298668714.666667
2022-02-20 16:55:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 16:55:00+00:00,10.95.161.205,cached,40189068629.333336
2022-02-20 16:55:00+00:00,10.95.161.205,free,151351050922.66666
2022-02-20 16:55:00+00:00,10.95.161.205,slab_recl,3674068309.3333335
2022-02-20 16:55:00+00:00,10.95.161.205,slab_unrecl,972414976.0
2022-02-20 16:55:00+00:00,10.95.161.205,used,4299973290.666667
2022-02-20 16:55:00+00:00,10.95.161.206,buffered,1134338048.0
2022-02-20 16:55:00+00:00,10.95.161.206,cached,9335696042.666666
2022-02-20 16:55:00+00:00,10.95.161.206,free,188220237824.0
2022-02-20 16:55:00+00:00,10.95.161.206,slab_recl,880459776.0
2022-02-20 16:55:00+00:00,10.95.161.206,slab_unrecl,788458154.6666666
2022-02-20 16:55:00+00:00,10.95.161.206,used,2376708778.6666665
2022-02-20 16:55:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 16:55:00+00:00,10.95.161.207,cached,26636364458.666668
2022-02-20 16:55:00+00:00,10.95.161.207,free,163109383509.33334
2022-02-20 16:55:00+00:00,10.95.161.207,slab_recl,4290914304.0
2022-02-20 16:55:00+00:00,10.95.161.207,slab_unrecl,1434428757.3333333
2022-02-20 16:55:00+00:00,10.95.161.207,used,5459278506.666667
2022-02-20 16:55:00+00:00,10.95.161.208,buffered,1219595605.3333333
2022-02-20 16:55:00+00:00,10.95.161.208,cached,180524247722.66666
2022-02-20 16:55:00+00:00,10.95.161.208,free,1374680405.3333333
2022-02-20 16:55:00+00:00,10.95.161.208,slab_recl,4656287744.0
2022-02-20 16:55:00+00:00,10.95.161.208,slab_unrecl,487174144.0
2022-02-20 16:55:00+00:00,10.95.161.208,used,14473975398.4
2022-02-20 16:55:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 16:55:00+00:00,10.95.161.209,cached,14045945856.0
2022-02-20 16:55:00+00:00,10.95.161.209,free,178006144341.33334
2022-02-20 16:55:00+00:00,10.95.161.209,slab_recl,3366170624.0
2022-02-20 16:55:00+00:00,10.95.161.209,slab_unrecl,1343165098.6666667
2022-02-20 16:55:00+00:00,10.95.161.209,used,4298840064.0
2022-02-20 16:56:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 16:56:00+00:00,10.95.161.205,cached,40191048362.666664
2022-02-20 16:56:00+00:00,10.95.161.205,free,151346692096.0
2022-02-20 16:56:00+00:00,10.95.161.205,slab_recl,3673825280.0
2022-02-20 16:56:00+00:00,10.95.161.205,slab_unrecl,972333738.6666666
2022-02-20 16:56:00+00:00,10.95.161.205,used,4302676650.666667
2022-02-20 16:56:00+00:00,10.95.161.206,buffered,1134347605.3333333
2022-02-20 16:56:00+00:00,10.95.161.206,cached,9335005866.666666
2022-02-20 16:56:00+00:00,10.95.161.206,free,188225305258.66666
2022-02-20 16:56:00+00:00,10.95.161.206,slab_recl,880432469.3333334
2022-02-20 16:56:00+00:00,10.95.161.206,slab_unrecl,787996672.0
2022-02-20 16:56:00+00:00,10.95.161.206,used,2372810752.0
2022-02-20 16:56:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 16:56:00+00:00,10.95.161.207,cached,26636837546.666668
2022-02-20 16:56:00+00:00,10.95.161.207,free,163099456170.66666
2022-02-20 16:56:00+00:00,10.95.161.207,slab_recl,4290924544.0
2022-02-20 16:56:00+00:00,10.95.161.207,slab_unrecl,1434092202.6666667
2022-02-20 16:56:00+00:00,10.95.161.207,used,5469059072.0
2022-02-20 16:56:00+00:00,10.95.161.208,buffered,1219611989.3333333
2022-02-20 16:56:00+00:00,10.95.161.208,cached,180524252501.33334
2022-02-20 16:56:00+00:00,10.95.161.208,free,1374634666.6666667
2022-02-20 16:56:00+00:00,10.95.161.208,slab_recl,4656287744.0
2022-02-20 16:56:00+00:00,10.95.161.208,slab_unrecl,487082666.6666667
2022-02-20 16:56:00+00:00,10.95.161.208,used,14474029056.0
2022-02-20 16:56:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 16:56:00+00:00,10.95.161.209,cached,14046054400.0
2022-02-20 16:56:00+00:00,10.95.161.209,free,178004086101.33334
2022-02-20 16:56:00+00:00,10.95.161.209,slab_recl,3366050474.6666665
2022-02-20 16:56:00+00:00,10.95.161.209,slab_unrecl,1343400618.6666667
2022-02-20 16:56:00+00:00,10.95.161.209,used,4300674389.333333
2022-02-20 16:57:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 16:57:00+00:00,10.95.161.205,cached,40193084757.333336
2022-02-20 16:57:00+00:00,10.95.161.205,free,151348205568.0
2022-02-20 16:57:00+00:00,10.95.161.205,slab_recl,3673796608.0
2022-02-20 16:57:00+00:00,10.95.161.205,slab_unrecl,971909120.0
2022-02-20 16:57:00+00:00,10.95.161.205,used,4299580074.666667
2022-02-20 16:57:00+00:00,10.95.161.206,buffered,1134352384.0
2022-02-20 16:57:00+00:00,10.95.161.206,cached,9335941802.666666
2022-02-20 16:57:00+00:00,10.95.161.206,free,188225855488.0
2022-02-20 16:57:00+00:00,10.95.161.206,slab_recl,880295936.0
2022-02-20 16:57:00+00:00,10.95.161.206,slab_unrecl,788339370.6666666
2022-02-20 16:57:00+00:00,10.95.161.206,used,2371113642.6666665
2022-02-20 16:57:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 16:57:00+00:00,10.95.161.207,cached,26637328384.0
2022-02-20 16:57:00+00:00,10.95.161.207,free,163078552917.33334
2022-02-20 16:57:00+00:00,10.95.161.207,slab_recl,4290924544.0
2022-02-20 16:57:00+00:00,10.95.161.207,slab_unrecl,1434064896.0
2022-02-20 16:57:00+00:00,10.95.161.207,used,5489498794.666667
2022-02-20 16:57:00+00:00,10.95.161.208,buffered,1219632469.3333333
2022-02-20 16:57:00+00:00,10.95.161.208,cached,180524256597.33334
2022-02-20 16:57:00+00:00,10.95.161.208,free,1374579370.6666667
2022-02-20 16:57:00+00:00,10.95.161.208,slab_recl,4656287744.0
2022-02-20 16:57:00+00:00,10.95.161.208,slab_unrecl,487338666.6666667
2022-02-20 16:57:00+00:00,10.95.161.208,used,14473803776.0
2022-02-20 16:57:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 16:57:00+00:00,10.95.161.209,cached,14045988864.0
2022-02-20 16:57:00+00:00,10.95.161.209,free,177955968341.33334
2022-02-20 16:57:00+00:00,10.95.161.209,slab_recl,3365928960.0
2022-02-20 16:57:00+00:00,10.95.161.209,slab_unrecl,1343099562.6666667
2022-02-20 16:57:00+00:00,10.95.161.209,used,4349280256.0
2022-02-20 16:58:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 16:58:00+00:00,10.95.161.205,cached,40195179178.666664
2022-02-20 16:58:00+00:00,10.95.161.205,free,151344440661.33334
2022-02-20 16:58:00+00:00,10.95.161.205,slab_recl,3673646421.3333335
2022-02-20 16:58:00+00:00,10.95.161.205,slab_unrecl,972517376.0
2022-02-20 16:58:00+00:00,10.95.161.205,used,4300792490.666667
2022-02-20 16:58:00+00:00,10.95.161.206,buffered,1134363989.3333333
2022-02-20 16:58:00+00:00,10.95.161.206,cached,9335859200.0
2022-02-20 16:58:00+00:00,10.95.161.206,free,188228824405.33334
2022-02-20 16:58:00+00:00,10.95.161.206,slab_recl,880295936.0
2022-02-20 16:58:00+00:00,10.95.161.206,slab_unrecl,786866176.0
2022-02-20 16:58:00+00:00,10.95.161.206,used,2369688917.3333335
2022-02-20 16:58:00+00:00,10.95.161.207,buffered,1805524992.0
2022-02-20 16:58:00+00:00,10.95.161.207,cached,26637802154.666668
2022-02-20 16:58:00+00:00,10.95.161.207,free,163134765738.66666
2022-02-20 16:58:00+00:00,10.95.161.207,slab_recl,4290934101.3333335
2022-02-20 16:58:00+00:00,10.95.161.207,slab_unrecl,1434208256.0
2022-02-20 16:58:00+00:00,10.95.161.207,used,5432659285.333333
2022-02-20 16:58:00+00:00,10.95.161.208,buffered,1219650218.6666667
2022-02-20 16:58:00+00:00,10.95.161.208,cached,180524284586.66666
2022-02-20 16:58:00+00:00,10.95.161.208,free,1374148608.0
2022-02-20 16:58:00+00:00,10.95.161.208,slab_recl,4656287744.0
2022-02-20 16:58:00+00:00,10.95.161.208,slab_unrecl,487072426.6666667
2022-02-20 16:58:00+00:00,10.95.161.208,used,14474455040.0
2022-02-20 16:58:00+00:00,10.95.161.209,buffered,1675632640.0
2022-02-20 16:58:00+00:00,10.95.161.209,cached,14045861888.0
2022-02-20 16:58:00+00:00,10.95.161.209,free,177942406485.33334
2022-02-20 16:58:00+00:00,10.95.161.209,slab_recl,3366051840.0
2022-02-20 16:58:00+00:00,10.95.161.209,slab_unrecl,1342876330.6666667
2022-02-20 16:58:00+00:00,10.95.161.209,used,4363069440.0
2022-02-20 16:59:00+00:00,10.95.161.205,buffered,2249318400.0
2022-02-20 16:59:00+00:00,10.95.161.205,cached,40197171882.666664
2022-02-20 16:59:00+00:00,10.95.161.205,free,151344548522.66666
2022-02-20 16:59:00+00:00,10.95.161.205,slab_recl,3673488042.6666665
2022-02-20 16:59:00+00:00,10.95.161.205,slab_unrecl,971863381.3333334
2022-02-20 16:59:00+00:00,10.95.161.205,used,4299504298.666667
2022-02-20 16:59:00+00:00,10.95.161.206,buffered,1134376960.0
2022-02-20 16:59:00+00:00,10.95.161.206,cached,9335887872.0
2022-02-20 16:59:00+00:00,10.95.161.206,free,188228866048.0
2022-02-20 16:59:00+00:00,10.95.161.206,slab_recl,880301397.3333334
2022-02-20 16:59:00+00:00,10.95.161.206,slab_unrecl,786682538.6666666
